username;first_name;last_name;email;password
test1;Test1;Crocodile1;test1.crocodile@test.com;test123
test2;Test2;Crocodile2;test2.crocodile@test.com;test123
test3;Test3;Crocodile3;test3.crocodile@test.com;test123
test4;Test4;Crocodile4;test4.crocodile@test.com;test123
test5;Test5;Crocodile5;test5.crocodile@test.com;test123
test6;Test6;Crocodile6;test6.crocodile@test.com;test123
test7;Test7;Crocodile7;test7.crocodile@test.com;test123
test8;Test8;Crocodile8;test8.crocodile@test.com;test123
test9;Test9;Crocodile9;test9.crocodile@test.com;test123
test10;Test10;Crocodile10;test10.crocodile@test.com;test123
